"BomOnly","Official","MatchType"
"SANGHI CEMENT LTD","Sanghi cement","contains"
"SANSTAR BIO POLYMERS LIMITED","Sanstar","contains"
"Sanstar Biopolymers Ltd.","Sanstar","contains"
"Satucesa Europa, S.L.U.","SATUCESA","contains"
"SERRA SACOS Y GESTION S L","Serra sacos","contains"
"SERRA SACOS Y GESTION S.L.","Serra sacos","contains"
"Serra Sacos Y Gestion Sl","Serra sacos","contains"
"EGA","SETEGA PACK","contains"
"shripal","Shripal Sha","contains"
"Shripal Shah","Shripal Sha","contains"
"SIDDHARTH","Siddharth Ji","contains"
"SO BAG FRANCE","SO Bag","contains"
"SO BAG.","SO Bag","contains"
"SONVIGO INTERNATIONAL LIMITED","sonvigo","contains"
"Sonvigo International Ltd","sonvigo","contains"
"Storsack Ireland","Storsack","contains"
"Superb pack","Superb Packaging","contains"
"SUPERB PACKAGING INC","Superb Packaging","contains"
"TEAG TEXTILE-EMBALLAGEN AG","TEAG TEXTIL","contains"
"TEAG TEXTIL-EMBALLAGEN AG","TEAG TEXTIL","contains"
"Technopac Gmbh","TECHNOPAC GmbH GERMANY","contains"
"TECHNOPAC","Technopacking","contains"
"Technopacking Spain","Technopacking","contains"
"VITERRA S.A.","TERRA S.A.","contains"
"Megasack","THE MEGASACK CORPORATION","contains"
"Thrace Plastic","THRACE PLASTICS","contains"
"THRACE SYNTHETIC","Thrace Synthetic Packaging Ltd.","contains"
"continental","Transcontinental Packaging","contains"
"Transcontinental","Transcontinental Packaging","contains"
"Aac gafsa tunisia","Tunisia","contains"
"EDEFINA CEMENT TUNISIA","Tunisia","contains"
"ELEC RECYCLAGE TUNISIA","Tunisia","contains"
"GAFSAS Tunisia","Tunisia","contains"
"SALT TUNISIA","Tunisia","contains"
"VALOFISH TUNISIA","Tunisia","contains"
"NEW","Tunisia New","contains"
"TWIL  LIMITED","Twil","contains"
"TWIL LIMITED","Twil","contains"
"UAB","UAB Rumeks-NNZ","contains"
"ULINE","Uline Inc.","contains"
"Unidex Packaging LLC","unidex","contains"
"Hindustan Unilever Limited","UNILEVER","contains"
"Urban Industires","URBAN","contains"
"URBAN INDUSTIRES INC.","URBAN","contains"
"URBAN INDUSTRIES, INC.","URBAN","contains"
"vercom Belgium","Vercom","contains"
"Vercom Int","Vercom","contains"
"Vercom International","Vercom","contains"
"Vercombelgium","Vercom","contains"
"Boxon (Gmbh) Bulk Jumbotainer Verpackungs","Verpack","contains"
"BOXON BULK JUMBOTAINER VERPACKUNGS GMBH","Verpack","contains"
"Meier Verpackungen","Verpack","contains"
"PEMA Verpackaging","Verpack","contains"
"QUP VERPACKUNG GMBH","Verpack","contains"
"S&Z Verpackung GmbH","Verpack","contains"
"Woko Schuttgutverpackungen Gmbh","Verpack","contains"
"WOKO schüttgutverpackungen GmbH","Verpack","contains"
"VIGYAN CHEMICAL","VIGYAN CHEMICAL PVT. LTD.","contains"
"ELS","Welspun","contains"
"ESSE","Wessex Packaging","contains"
"Ester","WESTERN GRAIN TRADING INTL.","contains"
"western","WESTERN GRAIN TRADING INTL.","contains"
"WESTERN GRAIN","WESTERN GRAIN TRADING INTL.","contains"
"Western Grain Trading","WESTERN GRAIN TRADING INTL.","contains"
"WHITE BAG COMPANY, Inc","WHITE BAG","contains"
"White Bag Company, Inc.","WHITE BAG","contains"
"WYSE PACKAGING","Wyse Packaging Inc.","contains"
"Yuan Da Plastic Fabric Corporation","Yuan Da Plastic","contains"
"zakkencentrale b.v","Zakkencentrale","contains"
"ZAKKENCENTRALE B.V.","Zakkencentrale","contains"
"Zakkencentrale Belgium N.V.","Zakkencentrale","contains"
